username,interaction_count
MiaAnne,35
mathias,28
SWAMP1FOX,25
ErichDerbsch,25
Mrmom3,19
Trumpsuger69,17
TenNinetySix,17
Seanp716,15
Bigcat988dayton,14
Themarkofthebeast,13
p6p,13
lonegreywolf,13
Hory_21,13
JBKevin,12
poshka,12
NashT52,12
debrabee,12
LexMagnum,11
agpace90,11
felixfeicht,11
hddubbleu,11
trumpyh7ter,11
korharry,10
Noam_Hendelman1986,10
Ggirls63,10
roymattson,10
Cheese1,10
flozo,9
Haidyn20,8
DrRReynolds,8
notosinglepartystate,8
shanesmith29,8
Bella2828,8
MAGAPARTY2024,8
daniel_burgess,8
Onkel_Jakob,8
SemraDontStopBelieving,7
AZTerry1960,7
realChadAS,7
Haze005,7
JackieV,7
DaKine17,7
mmadeira,7
ciloo,7
Chingatumaga2,7
magaVickiegirl7,7
DianaColleen,7
BEASTIEMAN420,6
JaundiceJesusForPrison2024,6
Aatucagg1,6
BradM2469,6
SoGladImRed,6
Trump2024and2028,6
felixmaxwell217,6
Schae1mt,6
DjTpresident,6
Lenv77,6
joetaxpayer_tm,6
Ready2Die4Trump,6
qvr2386,6
ChrisMartineauAuthor,6
ChristyCristosShell,6
JohnnyK85,6
matthixson17,6
Somewhereintime,6
TurtleBay40,6
Deplorable_Pepe,5
MEGAMAGA2028,5
Darenowen,5
BB1337,5
KAGPARTY,5
tss428,5
_AGAIN,5
Jhl199912,5
AmericafirstMAGA,5
JMUGA,5
spongysofresh,5
missile_of_juicy,5
CrazyLadyNaples,5
NiceJohn,5
shanewilliammartins,5
Cjstark,5
JBee3,5
Tommykids11,5
wgene45,5
truthteller1972,5
lazzolaa,4
tiktokn,4
RickyWebfoot,4
RealVeeralLad,4
LindaWarrior,4
Kbilz34,4
danielohlrogge,4
Johanna1952,4
mpm321,4
journeyonthetimeline,4
cjy1422,4
LinhCookingCorner,4
Pystov,4
CheckeredFlag,4
trashpeople,4
MargeQ,4
bmom5,4
dbarbour,4
Fbidenforever,4
hereforthelulz_,4
WayneThomas,4
mikemoke,4
1arMyJeep,4
RipeForTheFall,4
MartyPatriot,4
MzLadyJane,4
sassytexanrose,4
Frannie69,4
TangleUSA,4
chazzzzzzzzz,4
coolwhale715,4
judy_mrw,4
RedheadFraudFighter,4
Tweigum,4
RealDecn,4
theamericanlatino,3
MandiiBabii143,3
Dj8589,3
WhitGoodwin,3
SaundraSears,3
PoppaT,3
itsallmostmidnight,3
dv6466,3
sheilahere,3
goldennoel,3
Kes828,3
AngelTibbs,3
4Truth5,3
wshores,3
Barnshooter,3
GregoryMoore,3
Alessandro1967,3
Steve_C,3
Deborah2242,3
EJPatriot421,3
d_q0807,3
scottaussem,3
bjgoble,3
SNCooper1,3
711win,3
rawtruty,3
devries6549,3
dhdhdvdjdibdvxh,3
BigSteve,3
Boubou36,3
BobInMaine,3
kanejwells,3
RBH4908,3
RazorG,3
tomasirollo,3
hammerdm,3
christinerichters,3
lindamarie1019,3
kvnfidler666,3
Trae32davis,3
hdtfinc,3
maga1mando,3
bluejeans1,3
joemccuiston,3
PattyinArizona,3
optimistic_nihilism,3
SmotedSully,3
LoriKay123,3
Jomai_arch,3
spaceghost3d,3
JthnNish,3
LaineSimmons64,3
juanadiaz,3
curttamb,3
saratoombs,3
Debbie62,3
CamaroZL1,3
whitebrilliance,3
CaboMike,3
vwiz80,3
yoyoyoyo42,3
Independentrelease,3
bidenandharrishater,3
truther_1776,3
MAGAhatesUSA,3
ChristopherFox,3
jdaupUSA1st,3
californiAnna,2
littlefawks,2
PamIams,2
Dvillani0525,2
Sumsup2002,2
jshell,2
valeriemalizia,2
HanksBank,2
barnesfrank,2
Ngates68,2
Akwings6325,2
angelanewms92,2
sarafavIj830,2
abt1948264068362,2
deplorablebeard,2
SoCali17,2
ChazSmith75,2
theofficialbjorn,2
Jquave76,2
economicinsights,2
HeidiButz,2
jamesalton,2
brentberger5555,2
speppers69,2
UnbreadedGinger,2
CatCri,2
sjprus,2
TSQ,2
rhuckabe,2
hihellogoodmorning,2
Surfgirl_66,2
nick7274,2
Ryno2222,2
1american1776,2
SgtT1978,2
Duke8883,2
SirWIllIam22,2
BarbaraWnetrzak,2
Pepredjax,2
experilucid,2
joeisnotmypresident2021,2
bDRButler,2
Marie9260,2
EatShitLefties,2
Linesman4Love,2
iceguy,2
thenickchadwick,2
jlynn7878,2
FDT47,2
UltraMAGAjoy,2
ninjasprinkles,2
frannyh,2
Tartanium,2
Leatrice55,2
SpiritRebel,2
perdy43,2
ABuenogirl,2
Eveanne,2
Bertie_singh,2
johnnymack1776,2
gpandatwins19,2
gamermuleohio,2
LisaBuyanovits24,2
History_Repeats,2
Seathejoy,2
Theytrue_123,2
Phil1066,2
Dhsher,2
ljburchga30,2
callmejino,2
Diana1976,2
sunshineheartindarkworld,2
derusha,2
el_cubanaso,2
PAIC,2
JerseyLynn75,2
AnnRodges,2
christopherthurman1983,2
jgb75,2
realamerican7,2
ShaniceJenkins,2
TheRedTrunkShop,2
Noble26,2
samanthasmith52,2
livieK2864,2
flower1213,2
Blooper01,2
texasgrammy,2
LewisTheLeopard,2
luvsmileys3,2
SeanWontDie,2
donnabella,2
gq202020,2
edwardkrieger,2
TwinkleNose2018,2
FlapJack69,2
saulm,2
86753091,2
CornBredMeds,2
DanielNavejas,2
RGRSF,2
drumpfazzclown,2
jimbob68,2
WHIZKIDS,2
PatrioticBec,2
NOrtiz,2
tinsnip63,2
dbiddlecomb,2
obihan,2
eddies06,2
adambyrne,2
debcarocci,2
AndrewZebrun,2
SD1204,2
lsy1,2
Alaskanbuilt,2
faisal7,2
WasabyOne,2
RealDeaconDavid,2
RanmaOtherHalf,2
LIQUDREAMS,2
GodandCountryy2,2
katekateR,2
md62DT4evr,2
aharris0724,2
Ruckruf,2
AmyLouA,2
Duke190190,2
JohnPLiles,2
lizzyholmes,2
BenStein,2
kjkk03,2
TheViewFromObscurity2,2
trutsle69,2
DownWithCharlatans,2
monafishman,2
MAGA_MAN1,2
milliebee,2
GBlanco,2
JimiJamez,2
CowboyPatriot88,2
TracyLynnBrown,2
JeanneElizabeth,2
TrueVoiceUSA,2
Chopper911,2
jeffersonian_accounts,2
KarenLGonzalez1,2
sickofcommies,2
DenaMoreland,2
PeanutPatty,2
rodmem,2
Thinksquad,2
Kathleentackett4,2
indethink,2
Aledian,2
coreydancy,2
leahspeer,2
beno69,2
Romano620,2
latinosfortrump1,2
SEMPERFiAmerca,2
globalpalms,2
4197golden,2
A8A2Matt,2
kjsdw1732,2
javielito,2
Darlo1776,2
MaryKenn,2
Trumpybear62,2
Rachel4208,2
mariad126,2
McTully,2
Miffyq,2
hughster,2
tarausa20,2
RAJohnson,2
Red_white_blue_patriot,2
hooksies,2
PatriciaSaiger,2
Gcringean07,2
maltesemom,2
Nova1,2
ruthhafford,2
JackHall,2
MichiganGrown,2
LomaVistaBeeCompany,2
Blux101,2
Slfritx,2
DiannaP,2
Shawn4046,2
Usmilitarylover,2
wgarrett1,2
pschwrt,2
Islandman504,2
nicklask,2
thetruthHurt3,2
reelestate61,2
citojane,2
DaisArtimis,2
Adrian,2
Astris,2
Dsamburg,2
SpudPud,2
Carny,2
TrAdEcRaFt87,2
Eli901,2
ogpaulypaul,2
TexaslovesTrump76,2
prayer_ewe,2
d6fish,2
Kkinva16,1
1mjdickey,1
MAGAJR,1
earth2courtney,1
babarazark,1
ladylunch,1
NLGIRL92,1
jackholloway32,1
michansan,1
fracturedfemur,1
greenhillfarms,1
VerobeachKen,1
haybale201,1
SchultzB,1
3478033703,1
UnTruthSocialTr0ln,1
TynMO2021,1
Lansaidwords,1
patriotnation7,1
Chawshin,1
nicoleskarma111,1
k8sharley,1
LoadedLion69,1
goptejano,1
jsod1988,1
RealEyesRealizeRealLies,1
stephieayala,1
AlaskaRobRoy,1
bhaze1810,1
hamr504,1
karenfuessel,1
bluwaterdreamin,1
ryandavidjohnson,1
BBuffham,1
DYNAMIKE1974,1
shnebvrs,1
RailSplitter,1
patriotmitch,1
Agnesosei1234,1
TruthTribe22,1
PatriotsFight,1
prasad1978,1
TrvllMullins9,1
RedJersey,1
TruthAgain,1
therealtoriabrooke,1
TXTrumptess,1
stephsiems,1
kirby72722,1
HowardCastleberry,1
Marjean54,1
dieselshop,1
h2o4u,1
ChildofSeth,1
redneckyahoo,1
JerseyDevil,1
StephenMarkBrown,1
boojingles,1
MeechTheGreek,1
BlakeFellmy,1
CKLiberty,1
cuda422t,1
port1994,1
EJSmith2,1
jackbelt67,1
Sasquatch1776,1
eTorres77,1
samuel6363,1
Silverback79,1
OffTheGridRVs,1
Giabev,1
ChristineADMyers,1
Iposter,1
canman55,1
ZheromaN,1
Butcher420,1
Tfurlow,1
Cajunchem,1
didennis,1
dshndshf,1
LegendaryJohn5,1
Rkdals,1
SadButTruee,1
Kathleen7bts,1
HappyintheValley,1
itisworthdefending,1
Jziegler,1
AnnieOArt,1
bunnyLove123,1
garami53,1
jeff_1776,1
Paul_Cain,1
Karenferg,1
Greg31711,1
CECILULI,1
FreeStatePatriot,1
Rileywhite,1
connerd,1
Americanpatriot555,1
PatriotShedevil,1
natedevo,1
9mmRain,1
